0	0.1	0	0.55	126.49	0.55	-126.49	
0.0001	0.099992	-0.160005	0.549904	126.49	0.549904	-126.49	
0.0002	0.099968	-0.320001	0.549616	126.49	0.549616	-126.49	
0.0003	0.099928	-0.479964	0.549135	126.49	0.549135	-126.49	
0.0004	0.099872	-0.639868	0.548462	126.49	0.548462	-126.49	
0.0005	0.0998	-0.799686	0.547596	126.49	0.547596	-126.49	
0.0006	0.0997121	-0.959394	0.546535	126.49	0.546535	-126.49	
0.0007	0.0996082	-1.11897	0.54528	126.49	0.54528	-126.49	
0.0008	0.0994883	-1.27838	0.543828	126.49	0.543828	-126.49	
0.0009	0.0993525	-1.4376	0.54218	126.49	0.54218	-126.49	
0.001	0.0992008	-1.59661	0.540334	126.49	0.540334	-126.49	
0.0011	0.0990332	-1.75538	0.538288	126.49	0.538288	-126.49	
0.0012	0.0988497	-1.91388	0.53604	126.49	0.53604	-126.49	
0.0013	0.0986504	-2.0721	0.533591	126.49	0.533591	-126.49	
0.0014	0.0984353	-2.23	0.530937	126.49	0.530937	-126.49	
0.0015	0.0982044	-2.38756	0.528076	126.49	0.528076	-126.49	
0.0016	0.0979578	-2.54475	0.525008	126.49	0.525008	-126.49	
0.0017	0.0976955	-2.70155	0.52173	126.49	0.52173	-126.49	
0.0018	0.0974175	-2.85793	0.518241	126.49	0.518241	-126.49	
0.0019	0.0971239	-3.01387	0.514537	126.49	0.514537	-126.49	
0.002	0.0968147	-3.16934	0.510617	126.49	0.510617	-126.49	
0.0021	0.0964901	-3.32431	0.50648	126.49	0.50648	-126.49	
0.0022	0.0961499	-3.47877	0.502122	126.49	0.502122	-126.49	
0.0023	0.0957943	-3.63269	0.497542	126.49	0.497542	-126.49	
0.0024	0.0954234	-3.78603	0.492738	126.49	0.492738	-126.49	
0.0025	0.0950371	-3.93878	0.487707	126.49	0.487707	-126.49	
0.0026	0.0946356	-4.09091	0.482449	126.49	0.482449	-126.49	
0.0027	0.094219	-4.24239	0.47696	126.49	0.47696	-126.49	
0.0028	0.0937872	-4.39321	0.471239	126.49	0.471239	-126.49	
0.0029	0.0933404	-4.54333	0.465285	126.49	0.465285	-126.49	
0.003	0.0928785	-4.69274	0.459095	126.49	0.459095	-126.49	
0.0031	0.0924018	-4.8414	0.452669	126.49	0.452669	-126.49	
0.0032	0.0919103	-4.98929	0.446004	126.49	0.446004	-126.49	
0.0033	0.091404	-5.1364	0.4391	126.49	0.4391	-126.49	
0.0034	0.090883	-5.28268	0.431955	126.49	0.431955	-126.49	
0.0035	0.0903475	-5.42813	0.424569	126.49	0.424569	-126.49	
0.0036	0.0897974	-5.57271	0.416941	126.49	0.416941	-126.49	
0.0037	0.089233	-5.7164	0.409071	126.49	0.409071	-126.49	
0.0038	0.0886542	-5.85918	0.400957	126.49	0.400957	-126.49	
0.0039	0.0880612	-6.00103	0.392602	126.49	0.392602	-126.49	
0.004	0.087454	-6.14192	0.384003	126.491	0.384003	-126.491	
0.0041	0.0868328	-6.28182	0.375163	126.491	0.375163	-126.491	
0.0042	0.0861977	-6.42072	0.366081	126.491	0.366081	-126.491	
0.0043	0.0855487	-6.55859	0.35676	126.491	0.35676	-126.491	
0.0044	0.084886	-6.6954	0.3472	126.491	0.3472	-126.491	
0.0045	0.0842097	-6.83115	0.337403	126.491	0.337403	-126.491	
0.0046	0.0835198	-6.96579	0.327371	126.491	0.327371	-126.491	
0.0047	0.0828166	-7.09932	0.317107	126.491	0.317107	-126.491	
0.0048	0.0821	-7.2317	0.306612	126.491	0.306612	-126.491	
0.0049	0.0813702	-7.36292	0.295891	126.491	0.295891	-126.491	
0.005	0.0806274	-7.49295	0.284947	126.491	0.284947	-126.491	
0.0051	0.0798717	-7.62178	0.273783	126.491	0.273783	-126.491	
0.0052	0.0791031	-7.74937	0.262403	126.491	0.262403	-126.491	
0.0053	0.0783219	-7.87572	0.250813	126.491	0.250813	-126.491	
0.0054	0.077528	-8.00079	0.239017	126.491	0.239017	-126.491	
0.0055	0.0767218	-8.12457	0.22702	126.491	0.22702	-126.491	
0.0056	0.0759032	-8.24703	0.214827	126.491	0.214827	-126.491	
0.0057	0.0750724	-8.36816	0.202446	126.491	0.202446	-126.491	
0.0058	0.0742296	-8.48794	0.189883	126.491	0.189883	-126.491	
0.0059	0.0733748	-8.60634	0.177143	126.491	0.177143	-126.491	
0.006	0.0725084	-8.72334	0.164235	126.491	0.164235	-126.491	
0.0061	0.0716302	-8.83894	0.151166	126.491	0.151166	-126.491	
0.0062	0.0707406	-8.95309	0.137945	126.491	0.137945	-126.491	
0.0063	0.0698397	-9.0658	0.124578	126.491	0.124578	-126.491	
0.0064	0.0689275	-9.17703	0.111076	126.491	0.111076	-126.491	
0.0065	0.0680043	-9.28677	0.0974472	126.491	0.0974472	-126.491	
0.0066	0.0670702	-9.395	0.0837011	126.491	0.0837011	-126.491	
0.0067	0.0661254	-9.50171	0.0698475	126.491	0.0698475	-126.491	
0.0068	0.0651699	-9.60687	0.0558966	126.491	0.0558966	-126.491	
0.0069	0.064204	-9.71047	0.0418588	126.491	0.0418588	-126.491	
0.007	0.0632279	-9.81248	0.027745	126.491	0.027745	-126.491	
0.0071	0.0622416	-9.9129	0.0135663	126.491	0.0135663	-126.491	
0.0072	0.0612453	-10.0117	-0.000665918	126.491	-0.000665918	-126.491	
0.0073	0.0602393	-10.1089	-0.01494	126.491	-0.01494	-126.491	
0.0074	0.0592236	-10.2044	-0.0292439	126.491	-0.0292439	-126.491	
