0.0295	-0.359935	
0.0798	-0.3175	
0.1297	-0.297369	
0.1794	-0.284794	
0.2292	-0.27595	
0.2789	-0.269298	
0.3286	-0.258048	
0.3783	-0.251409	
0.4279	-0.246669	
0.4776	-0.243024	
0.5273	-0.240101	
0.577	-0.237692	
0.6267	-0.23567	
0.6763	-0.233946	
0.726	-0.232462	
0.7757	-0.23117	
0.8254	-0.230039	
0.8751	-0.229042	
0.9247	-0.228159	
0.9744	-0.227373	
1.0241	-0.226671	
1.0738	-0.226042	
1.1234	-0.225477	
1.1731	-0.224967	
1.2228	-0.224507	
1.2725	-0.22409	
1.3221	-0.223713	
1.3718	-0.22337	
1.4215	-0.223058	
1.4712	-0.222774	
1.5208	-0.222515	
1.5705	-0.222279	
1.6202	-0.222063	
1.6699	-0.221866	
1.7195	-0.221685	
1.7692	-0.22152	
1.8189	-0.221369	
1.8686	-0.22123	
1.9182	-0.221103	
1.9679	-0.220986	
2.0176	-0.220879	
2.0672	-0.22078	
2.1169	-0.22069	
2.1666	-0.220607	
2.2163	-0.22053	
2.2659	-0.22046	
2.3156	-0.220395	
2.3653	-0.220336	
2.415	-0.220281	
2.4646	-0.22023	
2.5143	-0.220184	
2.564	-0.220141	
2.6137	-0.220102	
2.6633	-0.220066	
2.713	-0.220032	
2.7627	-0.220001	
2.8124	-0.219973	
2.862	-0.219947	
2.9117	-0.219923	
2.9614	-0.2199	
3.011	-0.21988	
3.0607	-0.219861	
3.1104	-0.219844	
3.1601	-0.219827	
3.2097	-0.219812	
3.2594	-0.219799	
3.3091	-0.219787	
3.3588	-0.219775	
3.4084	-0.219764	
3.4581	-0.219754	
3.5078	-0.219745	
3.5575	-0.219737	
3.6071	-0.219729	
3.6568	-0.219722	
3.7065	-0.219715	
3.7562	-0.219709	
3.8058	-0.219703	
3.8555	-0.219698	
3.9052	-0.219693	
3.9549	-0.219689	
4.0045	-0.219685	
4.0542	-0.219681	
4.1039	-0.219678	
4.1535	-0.219674	
4.2032	-0.219672	
4.2529	-0.219669	
4.3026	-0.219666	
4.3522	-0.219664	
4.4019	-0.219662	
4.4516	-0.21966	
4.5013	-0.219658	
4.5509	-0.219657	
4.6006	-0.219655	
4.6503	-0.219654	
4.7	-0.219652	
4.7496	-0.219651	
4.7993	-0.21965	
4.849	-0.219649	
4.8987	-0.219648	
4.9483	-0.219647	
4.998	-0.219646	
5.0477	-0.219645	
5.0973	-0.219645	
5.147	-0.219644	
5.1967	-0.219644	
5.2464	-0.219643	
5.296	-0.219642	
5.3457	-0.219642	
5.3954	-0.219642	
5.4451	-0.219641	
5.4947	-0.219641	
5.5444	-0.219641	
5.5941	-0.21964	
5.6438	-0.21964	
5.6934	-0.21964	
5.7431	-0.21964	
5.7928	-0.219639	
5.8425	-0.219639	
5.8921	-0.219639	
5.9418	-0.21964	
